ticket_id,submitted_at,month,category,sentiment,urgency,confidence,needs_review,topic,raw_text
TKT-1075,2024-02-19,2024-02,billing,neutral,medium,high,False,Requesting information on switching from monthly to annual billing.,I need to switch from monthly to annual billing — how do I do that without losing my data?
TKT-1029,2024-02-22,2024-02,technical,negative,high,high,False,Bulk import tool fails without any error message.,The bulk import tool fails silently with no error message.
TKT-1043,2024-02-24,2024-02,feature_request,neutral,low,high,False,Inquiry about reseller or affiliate program options.,Do you have reseller or affiliate programme options?
TKT-1003,2024-03-09,2024-03,billing,neutral,medium,high,False,Inquiry about prorated amount after upgrading mid-cycle.,I upgraded mid-cycle — how should the prorated amount work exactly?
TKT-1026,2024-03-12,2024-03,feature_request,neutral,low,high,False,Request to add CSV export feature for data extraction.,Could you add CSV export so we can pull data into Excel?
TKT-1056,2024-03-24,2024-03,feature_request,neutral,low,high,False,Request for multi-language support for EU customers.,Multi-language support would help us serve our EU customers better.
TKT-1063,2024-03-25,2024-03,technical,negative,medium,high,False,Dark mode setting resets upon closing the browser.,The dark mode setting resets every time I close the browser.
TKT-1050,2024-03-29,2024-03,billing,negative,high,high,False,Customer experiencing issues with auto-renewal despite turning it off.,The auto-renewal fired even though I had turned it off in settings.
TKT-1065,2024-04-09,2024-04,technical,negative,high,high,False,Bulk import tool fails without any error message.,The bulk import tool fails silently with no error message.
TKT-1037,2024-04-11,2024-04,feature_request,neutral,low,high,False,Request for an API endpoint for bulk status updates.,We'd love an API endpoint for bulk status updates.
TKT-1078,2024-04-16,2024-04,technical,negative,high,high,False,Webhook not firing for new events.,The webhook I set up isn't firing for new events.
TKT-1008,2024-04-22,2024-04,technical,negative,high,high,False,API returning 401 Unauthorized error despite correct key.,The API is returning 401 Unauthorized even though my key is correct.
TKT-1025,2024-04-23,2024-04,billing,negative,high,high,False,Discount code not applied to the bill.,The discount code I applied at checkout isn't reflected on my bill.
TKT-1017,2024-05-01,2024-05,feature_request,positive,low,high,False,Request for dark mode feature in mobile app.,It would be amazing to have a dark mode for the mobile app.
TKT-1020,2024-05-01,2024-05,other,neutral,low,high,False,Inquiry about uptime SLA for enterprise plans.,What's your uptime SLA for enterprise plans?
TKT-1023,2024-05-05,2024-05,praise,positive,low,high,False,Customer compliments the product improvements.,The product has improved so much since last year. Keep up the great work!
TKT-1046,2024-05-05,2024-05,billing,negative,high,high,False,Discount code not applied to the bill.,The discount code I applied at checkout isn't reflected on my bill.
TKT-1000,2024-05-07,2024-05,other,neutral,low,high,False,Request for a security questionnaire for vendor approval.,I'd like to request a security questionnaire for vendor approval.
TKT-1027,2024-05-08,2024-05,feature_request,neutral,low,high,False,Request to add CSV export functionality for data extraction.,Could you add CSV export so we can pull data into Excel?
TKT-1014,2024-05-10,2024-05,billing,negative,high,high,False,Customer invoice does not reflect promised loyalty discount.,I was promised a 20% loyalty discount but my invoice shows full price.
TKT-1036,2024-05-11,2024-05,technical,negative,medium,high,False,Dark mode setting resets upon closing the browser.,The dark mode setting resets every time I close the browser.
TKT-1041,2024-05-11,2024-05,praise,positive,low,high,False,Compliment on the thoroughness of the API documentation.,The API documentation is thorough and easy to follow. Great job.
TKT-1006,2024-05-19,2024-05,feature_request,neutral,low,high,False,Request for multi-language support for EU customers.,Multi-language support would help us serve our EU customers better.
TKT-1052,2024-05-19,2024-05,technical,negative,high,high,False,Export to PDF function produces a blank document.,The export to PDF function produces a blank document.
TKT-1040,2024-05-26,2024-05,feature_request,neutral,low,high,False,Request for a public roadmap of upcoming features.,Can we get a public roadmap so we know what's coming next?
TKT-1053,2024-05-30,2024-05,technical,negative,high,high,False,API returning 401 Unauthorized despite correct key.,The API is returning 401 Unauthorized even though my key is correct.
TKT-1057,2024-06-04,2024-06,other,neutral,low,high,False,Inquiry about educational discounts for universities.,Is there an educational discount for universities?
TKT-1010,2024-06-12,2024-06,technical,negative,medium,high,False,Video playback issues on Chrome browser.,Video playback stutters badly on Chrome but works fine on Firefox.
TKT-1035,2024-06-26,2024-06,feature_request,neutral,low,high,False,Request for a 30-day extended trial of the tool.,We're evaluating your tool — can we get a 30-day extended trial?
TKT-1031,2024-07-04,2024-07,other,neutral,low,high,False,Request for press contact regarding AI tools.,I'm a journalist writing about AI tools — can I get a press contact?
TKT-1049,2024-07-28,2024-07,technical,negative,high,high,False,Data migration issue from old account not completed.,My data from the old account didn't migrate over during the merge.
TKT-1068,2024-07-29,2024-07,feature_request,neutral,low,high,False,Inquiry about on-premise or self-hosted deployment options.,Do you offer on-premise or self-hosted deployment?
TKT-1028,2024-07-31,2024-07,feature_request,neutral,low,high,False,Request for a Gantt chart view for project tracking.,A Gantt chart view would make project tracking much easier.
TKT-1047,2024-07-31,2024-07,technical,negative,high,high,False,Payment failure leading to account lockout issue.,Payment failed but I was still locked out of my account. Please sort this.
TKT-1032,2024-08-02,2024-08,feature_request,neutral,low,high,False,Request for a Gantt chart view for project tracking.,A Gantt chart view would make project tracking much easier.
TKT-1079,2024-08-07,2024-08,billing,neutral,low,high,False,Request for receipt of payment made on the 3rd.,Can I get a receipt for the payment made on the 3rd?
TKT-1039,2024-08-08,2024-08,billing,negative,medium,high,False,Customer was not prompted to confirm a paid plan after free trial ended.,My free trial ended but I was never asked to confirm a paid plan.
TKT-1012,2024-08-16,2024-08,billing,negative,high,high,False,Customer requests immediate refund for duplicate subscription charge.,I've been charged twice for my subscription this month. Please refund the duplicate charge immediately.
TKT-1042,2024-08-18,2024-08,billing,negative,high,high,False,Discount code not applied to the bill.,The discount code I applied at checkout isn't reflected on my bill.
TKT-1038,2024-08-21,2024-08,technical,negative,high,high,False,Custom domain not resolving after CNAME record update.,My custom domain stopped resolving after I updated the CNAME record.
TKT-1013,2024-08-23,2024-08,technical,negative,high,high,False,App crashes when uploading files larger than 10 MB.,The app crashes every time I try to upload a file larger than 10 MB.
TKT-1048,2024-09-07,2024-09,technical,negative,high,high,False,Customer unable to connect integration to Slack workspace.,I cannot connect the integration to my Slack workspace.
TKT-1077,2024-09-11,2024-09,billing,negative,high,high,False,Customer is inquiring about a delayed refund on their card.,The refund I requested two weeks ago still hasn't appeared on my card.
TKT-1062,2024-09-18,2024-09,billing,negative,high,high,False,Customer questioning unexpected price increase without prior notification.,Why did the price go up from $Sam to $Sam with no email warning?
TKT-1064,2024-09-21,2024-09,technical,negative,high,high,False,Custom domain not resolving after CNAME record update.,My custom domain stopped resolving after I updated the CNAME record.
TKT-1071,2024-10-02,2024-10,billing,negative,high,high,False,Customer charged after attempting to cancel subscription.,I tried to cancel and was still charged. Please explain.
TKT-1074,2024-10-06,2024-10,other,neutral,low,high,False,Request to change subscription email address.,I need to move my subscription to a different email address.
TKT-1005,2024-10-12,2024-10,other,neutral,medium,high,False,Request for a formal data processing agreement for GDPR compliance.,I need a formal data processing agreement (DPA) for GDPR compliance.
TKT-1069,2024-10-22,2024-10,technical,negative,high,high,False,Customer unable to log in despite resetting password.,I can't log in — it says my password is wrong but I just reset it.
TKT-1070,2024-10-27,2024-10,feature_request,neutral,low,high,False,Request to add time-tracking feature to tickets.,Please consider adding time-tracking built into each ticket.
TKT-1061,2024-10-30,2024-10,feature_request,neutral,low,high,False,Request for an API endpoint for bulk status updates.,We'd love an API endpoint for bulk status updates.
TKT-1066,2024-11-04,2024-11,praise,positive,low,high,False,Customer praises support agent for quick issue resolution.,Your support agent 29.99 solved my issue in under 5 minutes. Amazing!
TKT-1007,2024-11-10,2024-11,praise,positive,low,high,False,Compliment on the detailed and transparent changelog.,Your changelog is detailed and transparent — rare to see that.
TKT-1080,2024-11-13,2024-11,billing,negative,high,high,False,Customer was double-billed and is waiting for a refund.,I was double-billed in December and still waiting for the refund.
TKT-1076,2024-11-19,2024-11,technical,negative,high,high,False,CORS error when calling API from frontend.,I'm getting a CORS error when calling your API from my frontend.
TKT-1019,2024-11-23,2024-11,technical,negative,high,high,False,Bulk import tool fails without any error message.,The bulk import tool fails silently with no error message.
TKT-1044,2024-12-03,2024-12,billing,negative,high,high,False,Customer requests immediate refund for duplicate subscription charge.,I've been charged twice for my subscription this month. Please refund the duplicate charge immediately.
TKT-1004,2024-12-07,2024-12,praise,positive,low,high,False,Customer loves the tool and recommended it to colleagues.,I recommended your tool to three colleagues this week — love it.
TKT-1030,2024-12-07,2024-12,praise,positive,low,high,False,Customer compliments the API documentation for being thorough and easy to follow.,The API documentation is thorough and easy to follow. Great job.
TKT-1055,2024-12-08,2024-12,other,neutral,low,high,False,Request for press contact regarding AI tools.,I'm a journalist writing about AI tools — can I get a press contact?
TKT-1024,2024-12-12,2024-12,praise,positive,low,high,False,Customer expresses satisfaction with the migration process.,We migrated from a competitor and the import was completely painless.
TKT-1011,2024-12-13,2024-12,praise,positive,low,high,False,Customer compliments the product improvements.,The product has improved so much since last year. Keep up the great work!
TKT-1067,2024-12-15,2024-12,praise,positive,low,high,False,Customer loves the tool and recommended it to colleagues.,I recommended your tool to three colleagues this week — love it.
TKT-1072,2024-12-20,2024-12,billing,neutral,medium,high,False,Request for adding a PO number on the invoice.,My company needs a PO number on the invoice — is that possible?
TKT-1009,2024-12-23,2024-12,technical,negative,medium,high,False,Password reset emails are being marked as spam despite whitelisting.,Password reset emails are going to spam even though I've whitelisted the domain.
TKT-1054,2024-12-26,2024-12,praise,positive,low,high,False,Customer praises support agent for quick issue resolution.,Your support agent Maria solved my issue in under 5 minutes. Amazing!
TKT-1073,2024-12-28,2024-12,billing,negative,medium,high,False,Discrepancy in quoted price for enterprise subscription.,The pricing page says enterprise starts at $99 but I was quoted $129.
